id,fen,sol,turn,rating,n_moves
uGm1E,3r1k2/1RRr1ppp/p7/3p4/3P2P1/8/P5PP/6K1 w - - 0 30,c7d7 d8d7 b7d7,w,913,3
ux3td,8/4qbRR/p4k2/1p1p1p2/3P4/2P3P1/PP4K1/8 w - - 1 49,g7f7 e7f7 h7f7,w,913,3
72peB,8/3R1pkp/6p1/p2B4/1P5P/1P4P1/1r3r2/K1R5 b - - 4 28,b2a2 a1b1 f2b2,b,914,3
ajesM,1r4rk/Q2R1R2/2p3qp/p7/8/2b1P1P1/PP3P2/2K5 w - - 0 34,f7h7 g6h7 d7h7,w,914,3
FDr1I,6k1/1b3p2/6pp/3p4/1ppQ1b1N/1P3N1P/r1r5/6RK b - - 0 33,c2h2 f3h2 a2h2,b,915,3
Gg56E,8/R4pkp/8/8/8/6P1/Pr4r1/5R1K b - - 3 35,g2h2 h1g1 b2g2,b,915,3
RgKT6,2k1r2r/pp3RR1/8/8/8/2P4p/PPK5/8 w - - 0 32,f7c7 c8b8 c7b7 b8a8 b7a7,w,915,5
HLRnw,1b6/6k1/6P1/8/2PR4/5N2/r1r4P/6RK b - - 6 49,c2h2 f3h2 a2h2,b,916,3
de85n,8/p4pkp/2p3p1/P7/8/N2P4/P4rr1/2R2R1K b - - 5 28,g2h2 h1g1 f2g2,b,916,3
ip8cj,4r1k1/1RR3pp/6n1/8/4p3/3n4/P5PP/6K1 w - - 0 31,c7g7 g8h8 g7h7,w,916,3
Aeqzt,8/8/pp3k2/3p1Np1/PK1P2P1/1R6/1Rr2r2/8 b - - 1 48,c2b2 b3b2 f2b2,b,917,3
ENuGo,3q2k1/R3R3/5p1p/4p1pP/4P1P1/2P2P2/1r6/7K w - - 7 49,e7g7 g8h8 g7h7,w,917,3
IYsPQ,3r2k1/R1Rr1bp1/7p/5p2/1p2p3/8/4BPP1/6K1 w - - 2 41,c7d7 d8d7 a7d7,w,917,3
MqGbr,8/pp2R1R1/2kp4/2p1p3/2P5/4K3/Pr6/5r2 w - - 0 43,e7c7 c6b6 c7b7,w,917,3
pVYjK,7r/R4R1p/1r2p1p1/p6k/2n2P2/7P/5PK1/8 w - - 1 40,f7h7 h8h7 a7h7,w,918,3
sO91t,8/2knR3/3b3p/1p1Q4/3P4/1P6/1KP2rrP/1N5R b - - 0 35,f2c2 b2a1 c2a2,b,918,3
MkZa5,3r3r/p2nRR1p/b1p3p1/1p3pPk/5P1P/2P2P2/P1P1B3/2K5 w - - 1 26,f7h7 h8h7 e7h7,w,919,3
q2S1r,6k1/2R5/p6p/PbN3p1/2P5/5P1P/1r1r2P1/4R1K1 b - - 0 36,d2g2 g1h1 g2h2,b,919,3
FCXST,6k1/p3pp1p/B2p2p1/3Pb3/4P3/5N1P/1r4r1/3R2RK b - - 1 29,g2h2 f3h2 b2h2,b,920,3
GXk1C,8/3R2R1/1pp2r1k/p1p2r2/5P2/1P6/P7/5K2 w - - 1 40,g7h7 h6g6 d7g7,w,920,3
rZFsH,8/4P1pp/8/5R2/R5P1/4k2K/3r2r1/8 b - - 0 42,g2h2 h3g3 d2g2,b,920,3
C2iGH,3rk3/1RR2p2/4p1pp/8/p7/7P/3r1PP1/6K1 w - - 4 33,c7e7 e8f8 e7f7 f8g8 f7g7,w,921,5
EvtfT,8/6k1/p3p3/1p1pP2B/1P1P3p/P3R2P/r4rPK/6N1 b - - 0 38,f2g2 h2h1 g2h2,b,921,3
Ju8P0,k1r5/1R2Rp2/p1p5/6pp/8/5P2/r6P/6K1 w - - 2 35,b7a7 a8b8 e7b7,w,921,3
ikmOJ,8/8/8/6p1/2R3N1/2P2P1k/2r1r3/6RK b - - 1 41,e2h2 g4h2 c2h2,b,921,3
kSaOL,6k1/5ppp/8/P2p4/3P4/4P3/1rr2PPP/R2R1K2 b - - 0 29,c2f2 f1g1 f2g2 g1h1 g2h2,b,921,5
Ch2GV,2k1r2r/bp3RR1/p1p5/4p2p/4P3/2P3PP/PP6/7K w - - 3 31,f7c7 c8b8 c7b7 b8a8 b7a7,w,922,5
ENogj,8/p5pp/1p5k/2p1P2P/2P2P2/P1R1KP1R/r2r4/8 b - - 0 34,d2e2 e3d3 a2d2,b,922,3
bxaZr,6k1/3N2p1/6Qp/3p3P/3P4/P3PK2/r1r3P1/8 b - - 4 37,c2f2 f3g4 f2g2,b,922,3
oI5X0,6Br/2RR3p/p5pk/1p2p3/5p1P/6PK/PP3q2/8 w - - 0 38,d7h7 h8h7 c7h7,w,922,3
Cjo1Q,8/1p2k2p/p4Rp1/4Pp2/8/1P4N1/Pr1r2PP/4RK2 b - - 4 28,d2f2 f1g1 f2g2 g1h1 g2h2,b,923,5
FZl6w,5r1k/R5R1/8/rp6/5n2/6K1/5P1P/8 w - - 2 39,g7h7 h8g8 a7g7,w,923,3
